хабр: хабр
откр: открыть
список: список
стат: стать статьи
автор: автором авторы авторов
поток: потоки
разработк: разработка
администрирован: администрирование
дизайн: дизайн
менеджмент: менеджмент
маркетинг: маркетинг
научпоп: научпоп
поиск: поиск
профил: профиль
обнов: обновить
минут: минуту
систем: система
кругов: кругового
обзор: обзора
видеокамер: видеокамерой
враща: вращающимися
зеркал: зеркалами
уровен: уровень
сложност: сложности
средн: средний
прочтен: прочтение
мин: мин
количеств: количество
просмотр: просмотров
автомобильн: автомобильные
гаджет: гаджеты
высок: высокая
производительн: производительность
занимательн: занимательные
задачк: задачки
работ: работа
виде: видео
фототехник: фототехника
песочниц: песочницы песочница
рейтинг: рейтинг
добав: добавить
закладк: закладки
комментар: комментарии комментария
скопирова: скопировать
ссылк: ссылку
может: можете
перв: первым
полноправн: полноправные
пользовател: пользователи
оставля: оставлять
войд: войдите
аккаунт: аккаунт
войт: войти
регистрац: регистрация
раздел: разделы
новост: новости
хаб: хабы
компан: компании компаний
информац: информация
устройств: устройство
сайт: сайта
документ: документы
соглашен: соглашение
конфиденциальн: конфиденциальность
услуг: услуги
корпоративн: корпоративный
блог: блог
медийн: медийная
реклам: реклама
нативн: нативные
проект: проекты
образовательн: образовательные
программ: программы
стартап: стартапам
спецпроект: спецпроекты
яндекс: яндекс
дзен: дзен
настройк: настройка
язык: языка
техническ: техническая
поддержк: поддержка
вернут: вернуться
стар: старую
верс: версию
witf: witfed
rss: rss
facebook: facebook
twitter: twitter
vk: vk
telegram: telegram
youtub: youtube
habr: habr
